date,S&P500,FTSE100,DAX40
34722.00,470.39,3022.20,2031.70
34729.00,478.65,3059.70,2057.99
34736.00,481.46,3109.90,2130.15
34743.00,481.97,3044.20,2117.03
34750.00,488.26,3037.70,2118.64
34757.00,485.42,3025.10,2109.50
34764.00,489.57,3021.10,1994.02
34771.00,495.52,3089.30,2004.31
34778.00,500.97,3153.40,1924.98
34785.00,500.71,3137.90,1922.59
34792.00,506.42,3210.90,1981.88
34799.00,509.23,3208.80,1986.45
34806.00,508.49,3199.90,1976.64
34813.00,514.71,3216.70,2015.94
34820.00,520.12,3251.70,2023.83
34827.00,525.55,3310.30,2096.92
34834.00,519.19,3261.00,2065.13
34841.00,523.65,3311.10,2077.87
34848.00,532.51,3345.00,2136.26
34855.00,527.94,3337.70,2122.20
34862.00,539.83,3366.10,2119.79
34869.00,549.71,3379.40,2139.73
34876.00,544.75,3314.60,2083.90
34883.00,556.37,3462.90,2153.39
34890.00,559.89,3429.20,2184.90
34897.00,553.62,3413.10,2201.86
34904.00,562.93,3468.90,2230.00
34911.00,558.94,3482.40,2235.99
34918.00,555.11,3467.50,2232.90
34925.00,559.21,3509.80,2263.46
34932.00,560.10,3524.90,2249.27
34939.00,563.84,3509.40,2233.09
34946.00,572.68,3554.50,2273.70
34953.00,583.35,3564.60,2317.01
34960.00,581.73,3514.80,2211.79
34967.00,584.41,3508.20,2187.04
34974.00,582.49,3526.50,2171.43
34981.00,584.50,3568.00,2196.83
34988.00,587.46,3551.40,2170.49
34995.00,579.70,3497.90,2096.08
35002.00,590.57,3500.40,2181.72
35009.00,592.72,3523.40,2172.17
35016.00,600.07,3609.20,2201.28
35023.00,599.97,3624.00,2198.16
35030.00,606.98,3680.40,2260.66
35037.00,617.48,3630.00,2267.50
35044.00,616.34,3642.60,2284.77
35051.00,611.95,3658.30,2280.43
35058.00,615.93,3689.30,2253.88
35065.00,616.72,3704.50,2331.88
35072.00,601.81,3657.30,2356.45
35079.00,611.83,3748.40,2398.76
35086.00,621.62,3734.70,2432.93
35093.00,635.85,3781.30,2452.06
35100.00,656.37,3716.30,2411.93
35107.00,647.98,3770.90,2429.02
35114.00,659.08,3740.30,2451.78
35121.00,644.37,3752.70,2501.22
35128.00,633.50,3710.30,2469.12
35135.00,641.43,3644.80,2458.23
35142.00,650.62,3707.00,2504.02
35149.00,645.50,3699.70,2485.87
35156.00,655.86,3755.60,2495.18
35163.00,636.71,3766.80,2511.78
35170.00,645.07,3857.10,2536.52
35177.00,653.46,3832.80,2537.17
35184.00,641.63,3751.60,2457.49
35191.00,652.09,3754.40,2468.78
35198.00,668.91,3789.60,2537.33
35205.00,678.51,3752.10,2542.24
35212.00,669.12,3747.80,2542.80
35219.00,673.31,3706.80,2557.43
35226.00,665.85,3753.60,2548.83
35233.00,666.84,3722.30,2540.11
