date,USD,EUR,GBP,CHF,SEK,NOK,DKK,CAD
43251.00,1.00,1.17,1.32,1.01,0.11,0.12,0.16,0.76
43281.00,1.00,1.17,1.31,1.01,0.11,0.12,0.16,0.77
43312.00,1.00,1.16,1.30,1.03,0.11,0.12,0.16,0.77
43343.00,1.00,1.16,1.30,1.02,0.11,0.12,0.16,0.77
43373.00,1.00,1.13,1.28,0.99,0.11,0.12,0.15,0.76
43404.00,1.00,1.13,1.27,1.00,0.11,0.12,0.15,0.75
43434.00,1.00,1.14,1.27,1.02,0.11,0.12,0.15,0.73
43465.00,1.00,1.14,1.31,1.01,0.11,0.12,0.15,0.76
43496.00,1.00,1.14,1.33,1.00,0.11,0.12,0.15,0.76
43524.00,1.00,1.12,1.30,1.00,0.11,0.12,0.15,0.75
43555.00,1.00,1.12,1.30,0.98,0.10,0.12,0.15,0.75
43585.00,1.00,1.12,1.26,1.00,0.10,0.11,0.15,0.74
43616.00,1.00,1.14,1.27,1.02,0.11,0.12,0.15,0.76
43646.00,1.00,1.11,1.22,1.01,0.10,0.11,0.15,0.76
43677.00,1.00,1.10,1.22,1.01,0.10,0.11,0.15,0.75
43708.00,1.00,1.09,1.23,1.00,0.10,0.11,0.15,0.75
43738.00,1.00,1.12,1.29,1.01,0.10,0.11,0.15,0.76
43769.00,1.00,1.10,1.29,1.00,0.10,0.11,0.15,0.75
43799.00,1.00,1.12,1.33,1.03,0.11,0.11,0.15,0.77
43830.00,1.00,1.11,1.32,1.04,0.10,0.11,0.15,0.76
43861.00,1.00,1.10,1.28,1.04,0.10,0.11,0.15,0.75
43890.00,1.00,1.10,1.24,1.04,0.10,0.10,0.15,0.71
43921.00,1.00,1.10,1.26,1.03,0.10,0.10,0.15,0.72
43951.00,1.00,1.11,1.23,1.04,0.11,0.10,0.15,0.73
43982.00,1.00,1.12,1.24,1.06,0.11,0.10,0.15,0.74
44012.00,1.00,1.18,1.31,1.09,0.11,0.11,0.16,0.74
44043.00,1.00,1.19,1.34,1.11,0.12,0.11,0.16,0.77
44074.00,1.00,1.17,1.29,1.09,0.11,0.11,0.16,0.75
44104.00,1.00,1.16,1.29,1.09,0.11,0.10,0.16,0.75
44135.00,1.00,1.19,1.33,1.10,0.12,0.11,0.16,0.77
44165.00,1.00,1.22,1.37,1.13,0.12,0.12,0.16,0.78
44196.00,1.00,1.21,1.37,1.12,0.12,0.12,0.16,0.78
44227.00,1.00,1.21,1.39,1.10,0.12,0.12,0.16,0.78
44255.00,1.00,1.17,1.38,1.06,0.11,0.12,0.16,0.80
44286.00,1.00,1.20,1.38,1.09,0.12,0.12,0.16,0.81
44316.00,1.00,1.22,1.42,1.11,0.12,0.12,0.16,0.83
44347.00,1.00,1.19,1.38,1.08,0.12,0.12,0.16,0.81
44377.00,1.00,1.19,1.39,1.10,0.12,0.11,0.16,0.80
44408.00,1.00,1.18,1.38,1.09,0.12,0.11,0.16,0.79
44439.00,1.00,1.16,1.35,1.07,0.11,0.11,0.16,0.79
44469.00,1.00,1.16,1.37,1.09,0.11,0.12,0.15,0.81
44500.00,1.00,1.13,1.33,1.09,0.11,0.11,0.15,0.78
44530.00,1.00,1.14,1.35,1.10,0.11,0.11,0.15,0.79
44561.00,1.00,1.12,1.34,1.08,0.11,0.11,0.15,0.79
44592.00,1.00,1.12,1.34,1.09,0.11,0.11,0.15,0.79
44620.00,1.00,1.11,1.31,1.08,0.11,0.11,0.15,0.80
44651.00,1.00,1.05,1.26,1.03,0.10,0.11,0.14,0.78
44681.00,1.00,1.07,1.26,1.04,0.10,0.11,0.14,0.79
44712.00,1.00,1.05,1.22,1.05,0.10,0.10,0.14,0.78
44742.00,1.00,1.02,1.22,1.05,0.10,0.10,0.14,0.78
44773.00,1.00,1.01,1.16,1.02,0.09,0.10,0.14,0.76
44804.00,1.00,0.98,1.12,1.01,0.09,0.09,0.13,0.72
44834.00,1.00,0.99,1.15,1.00,0.09,0.10,0.13,0.73
44865.00,1.00,1.04,1.21,1.06,0.09,0.10,0.14,0.74
44895.00,1.00,1.07,1.21,1.08,0.10,0.10,0.14,0.74
44926.00,1.00,1.09,1.23,1.09,0.10,0.10,0.15,0.75
44957.00,1.00,1.06,1.20,1.06,0.10,0.10,0.14,0.73
44985.00,1.00,1.08,1.23,1.09,0.10,0.10,0.15,0.74
45016.00,1.00,1.10,1.26,1.12,0.10,0.09,0.15,0.74
45046.00,1.00,1.07,1.24,1.10,0.09,0.09,0.14,0.74
45077.00,1.00,1.09,1.27,1.12,0.09,0.09,0.15,0.75
45107.00,1.00,1.10,1.28,1.15,0.09,0.10,0.15,0.76
45138.00,1.00,1.08,1.27,1.13,0.09,0.09,0.15,0.74
45169.00,1.00,1.06,1.22,1.09,0.09,0.09,0.14,0.74
45199.00,1.00,1.06,1.22,1.10,0.09,0.09,0.14,0.72
45230.00,1.00,1.09,1.26,1.14,0.09,0.09,0.15,0.74
45260.00,1.00,1.10,1.27,1.19,0.10,0.10,0.15,0.75
45291.00,1.00,1.08,1.27,1.16,0.10,0.10,0.14,0.74
45322.00,1.00,1.08,1.26,1.13,0.10,0.09,0.14,0.74
45351.00,1.00,1.08,1.26,1.11,0.09,0.09,0.14,0.74
45382.00,1.00,1.07,1.25,1.09,0.09,0.09,0.14,0.73
45412.00,1.00,1.08,1.27,1.11,0.09,0.10,0.15,0.73
45443.00,1.00,1.07,1.26,1.11,0.09,0.09,0.14,0.73
45473.00,1.00,1.08,1.29,1.14,0.09,0.09,0.14,0.72
45504.00,1.00,1.10,1.31,1.18,0.10,0.09,0.15,0.74
45535.00,1.00,1.11,1.34,1.18,0.10,0.09,0.15,0.74
45565.00,1.00,1.09,1.29,1.16,0.09,0.09,0.15,0.72
45596.00,1.00,1.06,1.27,1.13,0.09,0.09,0.14,0.71
45626.00,1.00,1.04,1.25,1.10,0.09,0.09,0.14,0.69
45657.00,1.00,1.04,1.24,1.10,0.09,0.09,0.14,0.69
45688.00,1.00,1.04,1.26,1.11,0.09,0.09,0.14,0.69
45716.00,1.00,1.08,1.29,1.13,0.10,0.09,0.14,0.69
45747.00,1.00,1.13,1.33,1.21,0.10,0.10,0.15,0.72
45777.00,1.00,1.13,1.34,1.22,0.10,0.10,0.15,0.73
45808.00,1.00,1.18,1.37,1.26,0.11,0.10,0.16,0.73
45838.00,1.00,1.14,1.32,1.23,0.10,0.10,0.15,0.72
45869.00,1.00,1.17,1.35,1.25,0.11,0.10,0.16,0.73
45900.00,1.00,1.17,1.34,1.26,0.11,0.10,0.16,0.72
45930.00,1.00,1.16,1.33,1.25,0.10,0.10,0.16,0.71
