deal_id,fund_id
fb6c74b9-4d41-4d27-9435-e0db82794cc4,8f9e6ec2-c324-4493-9f57-09027d24a46a
ff45303b-ffe9-4c11-a3bf-d17e8dd0d8a2,78859af0-a23f-45b0-8902-9e506a717206
5e6d0241-ef48-407c-b2cf-4c810e1eac32,23f49613-6992-48cb-93a2-89d9418cfe7b
300c6947-642f-419b-b852-bdf3d7ef6d4b,4a12ae7e-4748-43bc-81f4-43e7c053cd6d
5bc36515-2d7e-4272-baed-df128cc69af0,cdad21ec-0f72-4be6-8e89-fe0341018ebf
b2eb9850-587b-4b83-ac9b-5877f13a99ae,f8a9f192-cf8d-4a29-a64a-8feda09087a0
64dc63c7-2c48-493e-a38d-34ef67f21bd7,f83b1c97-689d-4d83-a69d-ed7eb9d52976
ef82e418-95dc-49d3-ac9b-c382f87a113b,cbfc5086-2ceb-408c-9f42-d0b6008ec472
e6902a71-9c36-440c-a4f6-e8608dd91ada,41e8bc4a-215c-4548-b131-ac3e879ef287
cbc4a64e-11ad-45db-9783-7f90f51a5e63,41e8bc4a-215c-4548-b131-ac3e879ef287
c1a73a8a-7725-46ae-a194-8adbe9bc552c,966dd6e4-a6e7-42cf-8e3e-d7a33bee3e43
20e3d7fd-67bb-42cd-8632-127da11a9dce,966dd6e4-a6e7-42cf-8e3e-d7a33bee3e43
2cb0e495-a0aa-4aed-b027-0b70dbd1342c,966dd6e4-a6e7-42cf-8e3e-d7a33bee3e43
1586ebb8-3931-4adc-b95d-2fb36b69931c,0017bd2c-54bb-4de0-acd1-c9bb455b76ca
19facc52-b1c1-4bc9-991b-a7b92892e7da,2dd358b5-ada6-438d-9f0c-3c7d721b8e47
cfa93184-d008-4d65-a5f2-e7385d1900cc,45ba79fe-4635-41a3-9b41-18399057bc0f
7d21cf95-bbdf-45e9-830a-2d2b656b4448,181c2a30-a3c9-4f00-8a48-d8dcc856c640
477485e1-c72f-499d-8e31-2e1d42ce7fa5,a6957cf9-7fda-4fcc-bc8a-0243265057a4
bef8cbd3-6cff-465d-bfc4-dce79571f64c,f942fcff-c9dc-4ba1-9244-150a822c304f
7e2e9447-8088-4826-8f4b-eecdec8de52b,bb88cc26-5b2e-412d-a815-27ad49059eea
1fd44ea5-5852-41f7-80d9-61db6ceee0de,2b07d2d2-fa48-4097-a0fc-6717cc18e83f
e657ba87-60f7-4694-98ce-9c16d280b73f,0f04f46e-1fa9-469f-b248-ba41ebd61ee0
668f28f4-a125-43f3-90c6-ffa301138bb2,dee30836-a776-4105-9ccb-83743d245030
b59b7220-d05d-40d3-b927-083d84739bed,d680e659-9433-4692-9796-c1bfceedc931
52c06117-bea1-4332-82ab-4ea53eb8dd84,6486d4df-cfbc-4131-8e09-9c86ceed542d
879f4bc3-762d-46f0-8bf6-66f30c8feba2,24da0a1c-a58b-4bf6-87f5-4af43c24797a
9ee78d3f-305d-4ede-bc38-587f0fe3266b,57f15bd2-dbee-416b-b9c8-ceafbfdcab4a
773a7fa2-3cfd-4edf-a826-dae46a8ddc24,f623b081-053d-4878-b9f6-d0d0154a28dc
a7b02e65-22c6-4a69-919b-7f61e3f22356,23f49613-6992-48cb-93a2-89d9418cfe7b
165c1553-c19f-4796-bdf2-b44bb5a08250,61ec0f49-8835-473e-8e8f-0bb6d323dd63
a2c7868f-8ce4-4936-8843-51151f04b449,bf33874f-9df5-4188-9f3a-de3d4c9b2bba
21124015-a4ac-4bc1-9708-23a50e279bd8,554f8b7b-832d-457a-8b45-575accb46f19
81c4bff5-461a-4ab2-8a74-d655e1ecb65d,23f49613-6992-48cb-93a2-89d9418cfe7b
0229734c-9d72-4d75-86bc-d5dede3fdb00,d3b70422-7d92-4fbd-a34b-943ac21acfb3
24f50ded-a48a-496a-aa4e-32ff5771bf37,e22f3681-e57d-431b-b444-35cf1b7c4178
